Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
246133.0623,40067.69057,335391.3424,1378261.199,14746.89547,16513.65301,190335.3011,382.353588,116205.1244,14436.19793,28609.94405,543266.3716,004
2013.378527,617.318721,1559991.096,169052.2486,46.524508,228.93726,5960.414605,119.214858,28874.66695,2738.538013,17720.0784,5986.914626,004
637.045494,1175.292697,671909.0129,43140.372,2239.078618,319.232796,1498.272166,4640.013924,8169.73006,1150.494765,7058.680625,1548.995073,004
246453.5365,39657.45156,337416.2623,1388249.99,14425.29898,16586.04448,184968.169,331.877312,116171.6668,13269.69282,28667.93294,547912.3078,004
2035.546325,597.272207,1564216.902,170956.3252,66.560276,182.954485,6135.859448,104.356425,29138.16396,2858.02487,17482.67845,5969.567374,004
582.994232,1076.394039,673608.3716,43617.23852,2291.568378,205.589203,1591.637966,4329.409736,8164.69217,1237.791866,7470.379427,1491.585234,004
652520.9015,91563.95353,350283.2978,777346.8099,14209.05626,15369.21631,468893.2773,191.14153,152076.6565,17636.7398,23876.64132,399832.8316,006
5221.020855,889.481982,1456287.893,87556.29415,21.003225,268.88634,25403.03665,76.883643,35235.60903,3185.249893,9342.738075,4393.005515,006
1164.621171,1252.146744,579541.0654,21234.31432,2488.68678,195.108257,6171.917253,4757.294793,9414.526892,1272.88282,3625.491729,1242.461991,006
781826.0005,105348.031,311548.8111,792542.717,12778.22919,14775.40284,448218.7387,287.818587,140624.2955,17360.92799,20071.68534,584224.577,006
6450.842084,1079.620823,1324311.863,96274.22817,38.851934,222.52392,25563.9552,73.038802,33149.81357,2997.596089,8779.772291,6600.528826,006
1645.317323,1162.007129,543407.5488,23749.06871,2089.356906,389.836184,5923.939581,4390.586189,9218.658236,1623.728492,3678.86688,1723.51042,006
787478.9924,106876.5511,315977.4205,801292.3898,12979.12385,15099.8019,447049.5129,410.956688,142678.8345,18854.06952,20866.98277,588707.8599,006
6693.182659,1089.037075,1338289.124,97067.21892,33.632965,269.424011,26002.84498,82.125883,34017.10282,2808.772249,8978.459146,6508.302601,006
1631.182741,1246.517325,550297.6906,24213.12925,2100.994224,260.769449,6107.605168,4191.659763,9020.222073,1497.166258,3728.788958,1888.22439,006
795108.805,108094.4174,318109.9062,811895.1313,12488.83422,15214.24784,450611.4707,139.943203,144988.2176,18766.95003,20619.21586,592945.0341,006
6710.920363,1134.065984,1349829.189,97944.08645,50.26558,276.815178,25875.78274,102.193533,33734.85673,3128.49111,8877.300529,6786.265255,006
1714.728714,1269.291337,555787.5543,24534.33422,2207.324303,351.437483,6180.808641,4377.44578,9348.952774,1278.166264,3635.941887,1981.656937,006
451455.5793,89698.66911,237666.6391,289556.4997,12150.12196,13801.28059,248114.0848,304.036616,250984.4828,25276.78907,21376.14472,838134.9398,009
3063.579504,792.131558,876201.7074,30007.64424,42.743466,275.028816,9148.367483,77.398876,54308.66802,4456.984692,3960.806756,7672.435242,009
589.33773,1335.096677,341143.1807,7039.345052,2683.964392,171.803433,2133.181105,5411.499838,13650.02036,1704.679769,1929.887774,1660.138396,009
357130.4533,77201.23956,203505.4395,314541.6898,12810.34052,14792.99014,207111.4659,295.060981,259506.1412,24238.27649,19231.01908,1024834.35,009
2769.24433,830.327104,772890.8736,35507.60209,78.022168,317.889794,6924.332678,114.127514,59250.76466,5015.897934,2987.254544,9698.898066,009
802.4099,1501.179669,302483.4753,8280.700677,2790.444007,300.689722,1657.675468,5669.380746,14670.96042,2006.307986,1704.522648,2187.757537,009
364790.6284,77888.36702,208577.5381,321946.3658,11581.29265,13557.28022,207647.1605,621.119832,260510.3609,25120.62814,19390.22375,1066949.257,009
2559.051277,730.648309,765750.9544,34860.77325,48.023556,310.89076,7374.18713,151.406265,57206.82583,4759.176952,3134.344122,9394.467023,009
702.249254,1523.418962,297430.3644,7979.462637,2812.51413,355.722545,1716.626483,5639.23507,14350.77181,1921.726618,1687.345381,2127.947524,009
922421.2276,193242.1564,282586.9297,714072.6413,12111.99462,14361.02427,627264.5746,218.558088,276364.6864,22115.5568,20500.88793,738747.7229,010
8447.119913,2007.901349,1367867.161,92432.0977,16.961214,238.850009,43372.27488,97.530347,75929.38416,5295.09044,10838.61804,8691.101115,010
1758.459643,1348.278647,571949.9466,22942.59526,1925.900025,190.863616,10107.82184,3693.905791,20752.52504,1961.001641,4586.811223,2141.576002,010
924795.5821,193525.2299,284175.3761,719490.0052,11761.14984,14289.8476,618301.5191,168.215789,279994.1585,22337.05104,20552.98264,753681.5482,010
8532.990108,1982.419224,1378046.283,92817.80838,37.211409,329.222526,43683.42811,65.958879,76164.95334,5196.439108,10792.00467,8798.870002,010
1664.632112,1217.055715,575563.3804,22846.60955,1822.996567,152.300666,10068.63489,3661.652983,20828.95095,1917.372181,4434.968343,2061.166968,010
1046406.491,221880.3762,306497.524,553864.5908,11468.63441,13379.91066,636828.056,175.931155,300944.674,25701.59689,22811.82512,447920.2665,010
9373.467037,2121.719426,1437076.459,69561.70316,32.368024,251.292847,43360.40743,87.259893,77475.34196,5333.946962,12262.35272,4620.602402,010
